pop	cov	ind	date	good	t_1	t_2	lnL	t_1_cont	lnl_cont
Alberstedt_LN	12.606	I0118	4417.000	True	0.005	0.013	-779411.494	0.006	-779440.143
Anatolia_Neolithic	3.551	I1103,I0744,I1583,I0709,I1580,I1100,I1096,I1097,I0707,I1101,I1098,I0745,I0726,I0736,I1102,I0708,I0727,I1585,I0723,I0725,I1099,I1581,I0724,I0746,I1579	8317.500	True	0.010	0.042	-9096440.714	0.044	-9106156.877
Anatolia_Neolithic_1d_rel_I0736	1.782	I0854	8315.000	False	0.006	0.053	-325244.301	0.011	-325368.090
Baalberge_MN	0.244	I0560,I0807,I0559	5684.333	True	0.001	0.071	-201575.306	0.007	-201750.419
Bell_Beaker_Germany	1.161	I1549,I1546,I0060,I0108,I0111,I0805,I0806,I0113,I0112	4308.444	True	0.003	0.010	-1834486.744	0.008	-1834652.858
Bell_Beaker_Germany_1d_rel_I0111	0.031	I1530	4286.500	False	0.000	0.606	-9326.996	0.002	-9343.790
BenzigerodeHeimburg_LN	0.798	I0059,I0171	4209.750	True	0.003	0.032	-346061.545	0.007	-346134.356
Corded_Ware_Germany	2.250	I0106,I1540,I0104,I1534,I1542,I1538,I1544,I0049,I1539,I1532,I1536,I0103	4372.833	True	0.005	0.023	-2139002.723	0.017	-2139858.192
Corded_Ware_Germany_1d_rel_I1538+I1540	0.332	I1541	4290.000	False	0.000	0.122	-90155.667	0.002	-90208.514
Esperstedt_MN	30.410	I0172	5238.000	True	0.005	0.029	-975890.329	0.009	-976047.889
Halberstadt_LBA	5.322	I0099	3082.000	True	0.003	0.015	-558966.522	0.004	-558993.078
Hungary_BA	3.401	I1502,I1504	3695.750	True	0.004	0.023	-789754.969	0.010	-789939.889
Hungary_CA	5.169	I1497	4869.500	True	0.005	0.037	-504413.094	0.010	-504549.603
Hungary_EN	4.033	I1495,I1499,I1496,I1508,I1500,I1505,I1498,I1506	7177.000	True	0.007	0.036	-3478429.262	0.033	-3481855.461
Hungary_HG	5.807	I1507	7763.000	True	0.000	0.147	-469887.471	0.015	-471652.083
Iberia_Chalcolithic	1.686	I1277,I1280,I1303,I1271,I0581,I1272,I1282,I1300,I1314,I1284,I1281,I1276	4630.625	True	0.005	0.037	-2351769.869	0.028	-2354249.543
Iberia_Chalcolithic_1d_rel_I1277	0.167	I1274	4495.000	False	0.000	0.084	-47948.493	0.002	-47956.745
Iberia_Chalcolithic_1d_rel_I1314	0.072	I1302	4495.000	False	0.004	0.134	-20921.986	0.006	-20927.309
Iberia_EN	4.875	I0412,I0413,I0409,I0410	7239.500	True	0.005	0.053	-1483274.628	0.030	-1485675.934
Iberia_EN_1d_rel_I0410	0.082	I0411	7137.500	False	0.000	9.507	-22491.178	0.013	-22795.201
Iberia_MN	5.458	I0407,I0406,I0405,I0408	5765.000	True	0.004	0.039	-1491407.962	0.023	-1492793.179
Iberia_Mesolithic	21.838	I0585	7830.000	True	0.009	0.141	-720759.133	0.030	-723091.935
Karelia_HG	2.953	I0211,I0061	7265.000	True	0.008	0.125	-652952.676	0.033	-655352.439
Karsdorf_LN	0.168	I0550	4534.500	False	0.000	9.993	-48255.407	0.006	-47816.385
LBKT_EN	0.074	I0176	7090.000	False	0.010	1.293	-20241.837	0.023	-20629.128
LBK_EN	2.894	I0022,I0100,I0659,I0026,I0046,I1550,I0057,I0025,I0048,I0054,I0797,I0795,I0821,I0056	7123.429	True	0.007	0.039	-3656617.954	0.033	-3660838.639
Motala_HG	2.207	I0015,I0014,I0013,I0017,I0011	7729.500	True	0.003	0.126	-1477338.076	0.068	-1489573.895
Poltavka	2.211	I0126,I0374,I0371,I0440	4684.500	True	0.008	0.029	-1334662.071	0.020	-1335358.630
Poltavka_outlier	0.956	I0432	4745.500	False	0.002	0.038	-228610.471	0.004	-228637.845
Potapovka	0.267	I0419,I0246,I0418	4076.500	True	0.004	0.063	-220112.816	0.011	-220251.379
Salzmuende_MN	0.105	I0551	5227.500	False	0.000	9.179	-30090.304	0.011	-30088.183
Samara_Eneolithic	0.463	I0434,I0433,I0122	6615.000	True	0.007	0.078	-362161.674	0.020	-362689.209
Samara_HG	0.651	I0124	7617.500	False	0.000	10.000	-170050.146	0.010	-164289.786
Scythian_IA	3.217	I0247	2305.000	True	0.012	0.011	-492961.306	0.013	-492973.694
Srubnaya	1.662	I0430,I0358,I0234,I0424,I0431,I0360,I0232,I0361,I0235,I0359,I0422	3653.273	True	0.004	0.015	-2578065.957	0.013	-2578645.731
Srubnaya_1d_rel_I0430	0.050	I0421	3740.000	False	0.000	9.999	-14692.287	0.006	-14693.878
Srubnaya_Outlier	0.542	I0423,I0354	3704.500	True	0.006	0.019	-285828.766	0.008	-285851.523
Starcevo_EN	0.248	I0174	7645.000	False	0.000	10.000	-69022.996	0.012	-68153.426
Unetice_EBA	1.320	I0047,I0804,I0803,I0117,I0164,I0116,I0115	4024.786	True	0.002	0.012	-1676798.610	0.008	-1677026.310
Unetice_EBA_1d_rel_I0117	1.199	I0114	4070.000	False	0.000	10.000	-291214.170	0.005	-275635.277
Yamnaya_Samara	1.937	I0439,I0444,I0231,I0370,I0441,I0357,I0443,I0438,I0429	4990.500	True	0.008	0.033	-2440183.354	0.028	-2442192.801
